name,address,lat,lng,rating,priceLevel,userRatingCount
Tacos de Mixiote “El Mixiotito De Oro” L,"Plaza Perisur, Lateral Periférico, Insurgentes Cuicuilco, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",19.3028171,-99.1894119,,,
Tacos de Periférico,"Parques del Pedregal, Tlalpan, 14010 Ciudad de México, CDMX, Mexico",19.302274999999998,-99.1891119,3.6,,5
MI AGASAJO,"Carr. Picacho-Ajusco 4237-Local 16, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.304181399999997,-99.20500609999999,3.7,,24
Tacos de canasta,"Boulevard cataratas, sin número esquina, Llanura, Jardines del Pedregal de San Ángel, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.310560499999998,-99.2007162,4.5,,4
Tacos La Carpa,"Av. Centro Comercial 190, Insurgentes Cuicuilco, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.3055295,-99.18759689999999,4.1,,244
Taqueria Las Palomas San Fernando,"Av. San Fernando 546, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",19.2950064,-99.1793203,4.3,PRICE_LEVEL_MODERATE,340
Taco Express,"Av. San Fernando 556, Manantial Peña Pobre, Tlalpan, 14060 Ciudad de México, CDMX, Mexico",19.295094199999998,-99.1796334,4,PRICE_LEVEL_MODERATE,4487
Tacos Fonda Argentina San Fernando,"Av. San Fernando 417, San Fernando, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2952133,-99.1749836,4.1,PRICE_LEVEL_EXPENSIVE,1353
Tacos el papá gallo,"Camino Sta. Teresa, Parques del Pedregal, Tlalpan, 14219 Ciudad de México, CDMX, Mexico",19.2955216,-99.18496999999999,4.7,,83
El Moustron,"Av. San Fernando 95, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.293078299999998,-99.16930479999999,4,PRICE_LEVEL_MODERATE,1209
Alquería Parrilla Argentina,"Av. San Fernando, Toriello Guerra, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2948275,-99.1748681,4.4,,47
Tacos el Sabino,"14070, Sabino 169, San Pedro Apostol, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.295952,-99.1754126,4.7,,14
Tacos De Mixiote,"Pedregal de Carrasco Secc 3ra, Coyoacán, 04700 Mexico City, CDMX, Mexico",19.308359199999998,-99.1702674,4.6,,18
Los 3 Chinelos,"Av. San Fernando 582 A, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",19.2949789,-99.180622,4.3,PRICE_LEVEL_INEXPENSIVE,4001
Tortas El Colorin,"Av. San Fernando, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.293538299999998,-99.1706322,4.4,,289
Tacos guisado,"Av. Aztecas 807, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX, Mexico",19.3133058,-99.1691354,4.2,,33
"Carnitas ""Santos""","Benito Juárez 187, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.2986666,-99.170152,4.8,PRICE_LEVEL_INEXPENSIVE,312
Tacos Bell & Co,"Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2954416,-99.17612009999999,5,,7
Tacos de Guisado Selva,"Selva 4, Insurgentes Cuicuilco, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",19.3045364,-99.18417919999999,5,,4
El Peribán Ayuntamiento,"Ayuntamiento 87-local D, La Lonja, Miguel Hidalgo 1ra Secc, Tlalpan, 14268 Ciudad de México, CDMX, Mexico",19.292150499999998,-99.1785558,4.3,,790
Yellow Grill Cuicuilco,"Av. San Fernando 649, Manantial Peña Pobre, Tlalpan, 14060 Ciudad de México, CDMX, Mexico",19.2977308,-99.18118299999999,3.4,,21
Tacos de guisado y manita de cerdo,"Camino Sta. Teresa 51, Parque Nacional Bosque del Pedregal, Tlalpan, 14219 Ciudad de México, CDMX, Mexico",19.295334,-99.18517969999999,5,,2
I-Reven Hamburguesas y Tacos,"Del Parque 8, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",19.2949183,-99.1820635,4.3,,42
Tacos De Canasta,"México 1968, Pedregal de Carrasco, Coyoacán, 04700 Ciudad de México, CDMX, Mexico",19.304193299999998,-99.1684954,4.3,PRICE_LEVEL_INEXPENSIVE,26
"Tacos de Carnitas ""El Diablito""","C. 2 Ote. MZ8 LT28, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.299910999999998,-99.17337599999999,4.6,PRICE_LEVEL_INEXPENSIVE,232
Bur-Guer Tortas Tacos Huaraches,"Pedregal de Sta Úrsula, 04600 Mexico City, CDMX, Mexico",19.3054371,-99.154202,5,,1
Tacos De Mixiote y Tostadas,"Entre Calle Chimalcoyotl y Calle Xontepec, Calz. de Secc 16, Calz. de Tlalpan 4502, Belisario Domínguez, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",19.2928122,-99.1583711,4.5,,58
Tacos De Cabeza El Toro Bravo,"Calz. de Tlalpan 4585-D-201.D, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.295084,-99.1562117,4.4,,12
Don Manolito Tacos,"Calle Peña Pobre 86, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2937019,-99.16435969999999,4.2,PRICE_LEVEL_MODERATE,502
"Tacos ""El Sombrillas""","México 1968 8, Olímpica, Coyoacán, 04710 Ciudad de México, CDMX, Mexico",19.3024995,-99.16790239999999,4.2,,43
CHILAQUILES Y TACOS ROSYFHER,"Calz. de Tlalpan 4471, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2955422,-99.1552404,5,,12
"Tacos ""El Sobrino""","Av. Sta. Úrsula, Pedregal de Sta Úrsula, Coyoacán, 04600 Ciudad de México, CDMX, Mexico",19.311572599999998,-99.1606825,4,,1
Tacos De Canasta Ortiz,"Chimalcoyotl, Puente de Piedra &, Toriello Guerra, Tlalpan, 14050 Ciudad de México, CDMX, Mexico",19.2951293,-99.1632123,5,,2
"Tacos de canasta ""paty""","Belisario Domínguez Secc 16, Tlalpan, 14080 Mexico City, CDMX, Mexico",19.2922783,-99.1558603,5,,3
Tacos Don Javis,"Mercado Moctezuma, L- 216 y 217, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX, Mexico",19.3134498,-99.1622326,3.8,,5
Tacos de Birria El Guerrerense,"San Alejandro 669, Pedregal de Sta Úrsula, Coyoacán, 04600 Ciudad de México, CDMX, Mexico",19.305852899999998,-99.1543635,4.7,,91
Sope Tacos Coapa,"Av. Sta. Úrsula B-B, Pedregal de Sta Úrsula, Coyoacán, 04600 Ciudad de México, CDMX, Mexico",19.309877999999998,-99.1553191,4,,2
"Tacos ""Los Pajaritos""","Av. Sta. Úrsula, Pedregal de Sta Úrsula, Coyoacán, 04600 Ciudad de México, CDMX, Mexico",19.3101254,-99.1565287,5,,4
Tacos De Birria El Chivo Y El Toro,"Moctezuma, Cantera Puente de Piedra, Tlalpan, 14040 Ciudad de México, CDMX, Mexico",19.298614399999998,-99.1657161,4,,1
Tacos el patrón,"Av. División del Nte. 4025, Coapa, Parque Coyoacán, Coyoacán, 04899 Ciudad de México, CDMX, Mexico",19.3087133,-99.13361289999999,4.2,PRICE_LEVEL_MODERATE,1112
TAQUERÍA EL GÜERO,"Ejido 45, Coapa, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04650 Ciudad de México, CDMX, Mexico",19.302805,-99.1409001,4.3,PRICE_LEVEL_INEXPENSIVE,415
"Tacos de birria ""CECILIANO'S""","Coapa, Ex-Hacienda Coapa, Coyoacán, 04910 Ciudad de México, CDMX, Mexico",19.309015199999997,-99.1402969,4.5,PRICE_LEVEL_MODERATE,322
Don Eraki,"Prol. División del Nte. 692, Coapa, Prado Coapa, Tlalpan, 14350 Ciudad de México, CDMX, Mexico",19.2940047,-99.131498,4.4,PRICE_LEVEL_MODERATE,2465
Tacos El Gallito,"Calz. del Hueso 101-685, Coapa, Ex-Hacienda Coapa, Tlalpan, 04980 Ciudad de México, CDMX, Mexico",19.3073805,-99.1329817,4.1,,39
Tacos Don Roger,"Av. Sta. Úrsula 04980, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04980 Ciudad de México, CDMX, Mexico",19.301473599999998,-99.1467474,5,,3
Taqueria Rico Taco Pastor 2×1,"Club Necaxa 42, Coapa, Villa Lázaro Cárdenas, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.2979093,-99.1391508,4.2,,23
Super Tacos Monse,"Calz. del Hueso 7, Coapa, Ex-Hacienda Coapa, Coyoacán, 04910 Ciudad de México, CDMX, Mexico",19.3095328,-99.140568,4.3,,11
Taquerias Brasil Copacabana (Coapa),"Calle San Juan de Dios, Coapa, Prados Coapa 3ra Secc, Tlalpan, 14357 Ciudad de México, CDMX, Mexico",19.2954425,-99.1328794,4.2,PRICE_LEVEL_MODERATE,7702
