lat1,lng1,lat2,lng2,distancia_grados
31.204584,-116.246612,31.273222,-116.184527,0.09255118729113918
32.025776,-116.612231,32.030583,-116.613388,0.004944279320589639
25.735169,-111.719054,25.490528,-111.919889,0.31651842933073915
18.413082,-91.510316,18.215742,-91.507767,0.19735646176652089
26.920165,-101.275802,26.918758,-101.223108,0.052712781040277705
19.151362,-103.873197,19.163694,-103.91983,0.048236033346451795
16.428151,-92.536526,16.485472,-92.574333,0.06866634029857904
30.234912,-106.474112,30.310469,-106.498719,0.0794629769011924
31.466438,-107.078729,31.568865,-107.105014,0.10574588197182816
31.726152,-107.288007,31.568865,-107.105014,0.2412998931164261
27.886573,-107.466026,27.782425,-107.498144,0.10898794349834989
27.693039,-107.602969,27.74129444,-107.6387778,0.06009041227212248
27.59202,-104.96829,27.5465,-105.0468611,0.09080467033809853
27.837368,-105.191391,27.86355,-105.2069,0.030430678681228833
26.080647,-106.892231,26.08042223,-106.9535833,0.061352711731790056
26.065878,-106.946042,26.08042223,-106.9535833,0.016383095921798554
27.458361,-108.264554,27.392023,-108.420943,0.16987716022172358
27.687485,-105.857631,27.792466,-105.711754,0.17972509421335708
25.515366,-103.594245,25.523642,-103.586642,0.011238228730544008
24.503395,-102.582696,24.632639,-102.778664,0.23474979991472408
20.570597,-102.224469,20.606411,-102.220772,0.03600431092244597
20.797126,-104.191562,20.78788889,-104.197611,0.01104149456151345
19.000648,-98.763544,19.024739,-98.77607,0.02715284436297855
19.012013,-101.082191,19.057972,-101.409889,0.3309051357791354
20.044294,-102.534377,20.06460556,-102.5772306,0.04742352267169152
26.126162,-100.798714,26.138697,-100.655971,0.14329232454672114
25.376007,-99.895676,25.390028,-99.892917,0.014289874807008477
16.057588,-96.405825,16.08375,-96.46325,0.06310373102282478
22.043062,-99.692369,22.002583,-99.641917,0.06468348896742578
23.181044,-101.126094,23.13298889,-101.1238528,0.04810734428912177
23.700008,-101.32243,23.68528333,-100.9836833,0.33906657556813224
22.130439,-98.832235,22.16958333,-98.82933333,0.03925172938785927
21.935278,-100.634739,22.040528,-100.739486,0.14849072869711522
27.892542,-110.683306,27.94911389,-110.6736333,0.05739285550887065
29.243265,-110.871312,29.25874722,-110.8853139,0.020874681787713057
29.608273,-111.994534,29.20880278,-111.7597083,0.4633784263939575
28.434457,-108.538797,28.160972,-108.570194,0.2752813412383746
22.350342,-97.995129,22.387944,-97.946,0.06186735039583268
27.037592,-99.469108,27.088389,-99.478167,0.05159845627535588
26.984622,-99.593269,27.088389,-99.478167,0.15497116084291693
