Comunidad (lat),Comunidad (lng),Distancia actual (km),Alternativa (lat),Alternativa (lng),Nueva distancia (km),Diferencia (km)
22.259494,-104.225563,74.43,21.981111,-103.588889,77.35,2.92
22.259494,-104.225563,74.43,22.443417,-103.500083,83.32,8.88
22.259494,-104.225563,74.43,21.66886111,-104.8435,95.16,20.73
22.259494,-104.225563,74.43,21.66886111,-104.8435,95.16,20.73
22.259494,-104.225563,74.43,23.078444,-104.546556,97.92,23.49
22.259494,-104.225563,74.43,22.888028,-103.483139,108.29,33.86
22.318764,-103.728461,19.07,22.300317,-103.558194,19.07,0.0
22.318764,-103.728461,19.07,22.300317,-103.558194,19.07,0.0
22.318764,-103.728461,19.07,22.300317,-103.558194,19.07,0.0
22.405556,-103.891389,38.9,22.443417,-103.500083,43.76,4.87
22.405556,-103.891389,38.9,21.981111,-103.588889,58.02,19.12
22.405556,-103.891389,38.9,21.981111,-103.588889,58.02,19.12
23.258189,-105.267137,58.21,23.701936,-105.578519,60.35,2.14
23.258189,-105.267137,58.21,23.42616111,-105.8593361,68.52,10.32
23.258189,-105.267137,58.21,23.810392,-105.545831,68.86,10.65
23.258189,-105.267137,58.21,22.63707,-105.31837,69.38,11.17
23.258189,-105.267137,58.21,23.078444,-104.546556,82.67,24.46
23.389715,-105.379829,41.2,23.773389,-105.3565,42.79,1.59
23.389715,-105.379829,41.2,23.810392,-105.545831,50.34,9.15
23.389715,-105.379829,41.2,23.42616111,-105.8593361,53.53,12.34
23.700008,-101.32243,37.74,23.691194,-100.889611,48.19,10.45
24.122841,-105.701452,38.86,23.701936,-105.578519,48.81,9.96
24.122841,-105.701452,38.86,23.773389,-105.3565,54.66,15.8
24.276484,-106.484882,25.87,24.41386111,-106.6906389,27.54,1.67
24.34612,-102.946044,36.94,23.995598,-103.021642,39.92,2.98
24.658029,-106.705318,27.23,24.38409722,-106.6908694,30.54,3.31
24.701955,-106.329703,39.06,24.41386111,-106.6906389,51.41,12.35
24.701955,-106.329703,39.06,24.38409722,-106.6908694,53.56,14.5
25.072473,-111.166832,45.94,24.48875,-111.294361,66.51,20.57
25.251014,-106.897741,24.59,25.47913333,-106.9396111,25.82,1.23
25.514589,-98.758313,23.3,25.632694,-99.040056,34.01,10.71
25.539052,-98.571106,18.89,25.332558,-98.655069,24.81,5.93
25.601491,-107.073059,20.15,25.4696,-106.9296806,21.69,1.53
26.164467,-107.154093,22.59,26.08042223,-106.9535833,24.2,1.61
26.164467,-107.154093,22.59,26.08042223,-106.9535833,24.2,1.61
26.164467,-107.154093,22.59,26.429889,-107.2674,32.13,9.54
26.164467,-107.154093,22.59,26.429889,-107.2674,32.13,9.54
26.243794,-106.946635,16.75,26.08042223,-106.9535833,18.2,1.45
26.243794,-106.946635,16.75,26.08042223,-106.9535833,18.2,1.45
26.302937,-106.681646,34.91,26.09427,-106.963681,39.06,4.15
26.302937,-106.681646,34.91,26.09427,-106.963681,39.06,4.15
26.302937,-106.681646,34.91,26.08042223,-106.9535833,39.11,4.21
26.302937,-106.681646,34.91,26.08042223,-106.9535833,39.11,4.21
26.432265,-106.369275,46.08,26.954838,-106.34788,58.22,12.14
26.432265,-106.369275,46.08,26.954838,-106.34788,58.22,12.14
26.486868,-107.736865,52.64,27.028916,-107.737139,60.34,7.7
26.486868,-107.736865,52.64,27.028916,-107.737139,60.34,7.7
26.486868,-107.736865,52.64,27.028916,-107.737139,60.34,7.7
26.486868,-107.736865,52.64,27.028916,-107.737139,60.34,7.7
26.486868,-107.736865,52.64,26.711475,-108.3237278,69.95,17.31
26.486868,-107.736865,52.64,25.79969444,-107.8747222,78.02,25.38
26.69181,-106.574716,38.66,26.81173889,-107.0723278,56.98,18.32
26.69181,-106.574716,38.66,26.83302778,-107.0706,57.4,18.73
26.813261,-107.26936,20.93,26.81173889,-107.0723278,21.93,1.0
26.813261,-107.26936,20.93,26.83302778,-107.0706,22.24,1.3
27.121862,-107.14898,33.32,26.818858,-107.081417,34.56,1.24
27.121862,-107.14898,33.32,26.81173889,-107.0723278,35.56,2.25
27.121862,-107.14898,33.32,27.301131,-107.543608,48.25,14.93
27.121862,-107.14898,33.32,27.301131,-107.543608,48.25,14.93
27.121862,-107.14898,33.32,27.301131,-107.543608,48.25,14.93
27.25302,-107.976128,28.59,27.028916,-107.737139,36.47,7.88
27.25302,-107.976128,28.59,27.028916,-107.737139,36.47,7.88
27.25302,-107.976128,28.59,27.028916,-107.737139,36.47,7.88
27.25302,-107.976128,28.59,27.028916,-107.737139,36.47,7.88
27.25302,-107.976128,28.59,27.56077778,-107.8178056,38.53,9.93
27.25302,-107.976128,28.59,27.56077778,-107.8178056,38.53,9.93
27.280521,-107.200121,38.31,26.83302778,-107.0706,51.86,13.55
27.280521,-107.200121,38.31,26.818858,-107.081417,53.06,14.76
