lat1,lng1,lat2,lng2,distancia_grados,distancia_km
31.204584,-116.246612,31.273222,-116.184527,0.09255118729113918,10.302798169249613
32.025776,-116.612231,32.030583,-116.613388,0.004944279320589639,0.5503971739680386
26.920165,-101.275802,26.918758,-101.223108,0.052712781040277705,5.867986785403714
19.151362,-103.873197,19.163694,-103.91983,0.048236033346451795,5.369635232127013
16.428151,-92.536526,16.485472,-92.574333,0.06866634029857904,7.643937002037819
30.234912,-106.474112,30.310469,-106.498719,0.0794629769011924,8.845818588640737
31.466438,-107.078729,31.568865,-107.105014,0.10574588197182816,11.77163158110391
27.886573,-107.466026,27.782425,-107.498144,0.10898794349834989,12.132537870236309
27.693039,-107.602969,27.74129444,-107.6387778,0.06009041227212248,6.689264694132674
27.59202,-104.96829,27.5465,-105.0468611,0.09080467033809853,10.108375902037126
27.837368,-105.191391,27.86355,-105.2069,0.030430678681228833,3.3875431507943934
26.080647,-106.892231,26.08042223,-106.9535833,0.061352711731790056,6.829783869982869
26.065878,-106.946042,26.08042223,-106.9535833,0.016383095921798554,1.823766238014615
25.515366,-103.594245,25.523642,-103.586642,0.011238228730544008,1.2510396222841589
20.570597,-102.224469,20.606411,-102.220772,0.03600431092244597,4.007999891886685
20.797126,-104.191562,20.78788889,-104.197611,0.01104149456151345,1.2291391745876772
19.000648,-98.763544,19.024739,-98.77607,0.02715284436297855,3.0226546344867717
20.044294,-102.534377,20.06460556,-102.5772306,0.04742352267169152,5.279186543812699
25.376007,-99.895676,25.390028,-99.892917,0.014289874807008477,1.5907488635161835
16.057588,-96.405825,16.08375,-96.46325,0.06310373102282478,7.024707337460854
22.043062,-99.692369,22.002583,-99.641917,0.06468348896742578,7.2005659918538365
23.181044,-101.126094,23.13298889,-101.1238528,0.04810734428912177,5.355309566265035
22.130439,-98.832235,22.16958333,-98.82933333,0.03925172938785927,4.369502515456494
27.892542,-110.683306,27.94911389,-110.6736333,0.05739285550887065,6.38897267524748
29.243265,-110.871312,29.25874722,-110.8853139,0.020874681787713057,2.3237695766082176
22.350342,-97.995129,22.387944,-97.946,0.06186735039583268,6.887073446064093
27.037592,-99.469108,27.088389,-99.478167,0.05159845627535588,5.743940152572616
25.429772,-97.459878,25.425336,-97.411886,0.04819657830179166,5.365243096555447
23.671651,-98.153336,23.66842222,-98.15911667,0.006621266188380172,0.7370793520904807
22.309416,-98.178007,22.246533,-98.180358,0.06292693294607596,7.005026175557175
21.100736,-89.560279,21.085905,-89.561107,0.01485409522657131,1.653557880621918
23.135239,-102.868032,23.136503,-102.851161,0.016918284103295746,1.8833433863788822
31.920106,-116.472038,31.900111,-116.552861,0.08325957815170147,9.268456239847406
32.40829,-115.093274,32.424831,-115.101517,0.01848111820210043,2.0573180782578198
25.137352,-111.578485,25.202194,-111.558603,0.06782166975237088,7.549908276833925
23.057332,-109.825055,23.104027,-109.7448,0.09285089148738038,10.336161240375183
18.686755,-90.976615,18.631661,-91.002025,0.06067138482019715,6.7539385581843465
25.392216,-100.931483,25.40153889,-100.9382417,0.011515046836299912,1.2818550138169063
25.731174,-103.068505,25.753578,-103.102358,0.04059513302108556,4.519050207907244
17.603146,-92.056968,17.574031,-92.028307,0.040855062672817216,4.547985576738013
16.483172,-92.977429,16.488055,-92.967555,0.011015423959154908,1.2262369951331242
28.72555,-105.977996,28.72692,-105.99408,0.016142241356136188,1.7969543077650802
28.548474,-107.454642,28.542808,-107.459822,0.007676975706613424,0.8546009356602063
28.349416,-105.533715,28.324639,-105.545417,0.027401396552000874,3.050323464168737
24.386424,-104.732072,24.391278,-104.741897,0.01095864685989236,1.2199165684432174
25.681864,-103.430355,25.660694,-103.410861,0.028778202445608105,3.203589496245094
19.367146,-101.497643,19.33548056,-101.4794611,0.03651412847109651,4.064752781402463
25.672612,-99.114171,25.632694,-99.040056,0.08418123276003277,9.371054830846846
24.926421,-99.686422,24.951763,-99.717451,0.04006264850206676,4.459774031250071
24.869855,-99.749226,24.88005556,-99.68322222,0.06678735208555901,7.434768034164429
17.404787,-96.688963,17.405358,-96.700781,0.01183178621342205,1.3171144412781424
21.97949,-98.730917,22.003972,-98.737528,0.025358896762280973,2.822952387577118
25.586957,-107.917179,25.595225,-107.959014,0.04264419126914329,4.7471513720810306
23.038119,-106.195763,23.01022222,-106.1543194,0.04995800551791303,5.561325174254078
30.790535,-112.661906,30.80380278,-112.712475,0.052280567586131525,5.819872783688161
27.400006,-110.025013,27.43194444,-110.0188889,0.03252027906466277,3.620157465478259
27.640628,-109.911358,27.661825,-109.9038944,0.02247260852594016,2.5016507811076587
29.625865,-111.120102,29.61266667,-111.0258056,0.09521558153868416,10.59939853688632
27.101808,-109.678876,27.06391389,-109.6872472,0.03880773843104073,4.320077442143454
31.218439,-110.599041,31.23818056,-110.6029556,0.020125935615359858,2.2404191527018593
31.169407,-110.721502,31.14698056,-110.6312611,0.09298583356556635,10.351182992518845
22.960621,-98.941813,22.960947,-98.961656,0.019845677741018232,2.2092208461301492
19.713013,-98.302549,19.660013,-98.338138,0.06384024530811426,7.106696107699279
19.65598,-98.050104,19.655583,-97.996111,0.053994459512070256,6.010663232883661
19.98199,-96.67954,20.028405,-96.649081,0.05551669033723487,6.180117968340985
23.017565,-102.594454,22.948583,-102.560972,0.07667829319957337,8.535827598976507
32.646221,-114.972592,32.60823889,-115.0180889,0.05926726406424284,6.597631835631512
24.264694,-110.23761,24.196111,-110.251778,0.07003113673931033,7.795866141820025
18.256345,-91.583247,18.204531,-91.536189,0.06999389944845677,7.791720886602207
