Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),Coordenadas Comunidad,ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
El Guayabito,"(26.61647, -108.30358)",SI2520,50.11 km,"(26.61647, -108.30358)",SI2521,"(26.55525, -108.35581)",8.96 km,"https://www.google.com/maps/dir/26.61647,-108.30358/26.55525,-108.35581",SI0684,"(26.70435, -108.33040)",10.23 km,"https://www.google.com/maps/dir/26.61647,-108.30358/26.70435,-108.33040",SI2200,"(26.71148, -108.32373)",10.81 km,"https://www.google.com/maps/dir/26.61647,-108.30358/26.71148,-108.32373"
El Guayabal,"(23.42616, -105.85934)",SI0060,35.64 km,"(23.42616, -105.85934)",SI6211,"(23.48669, -105.84315)",6.98 km,"https://www.google.com/maps/dir/23.42616,-105.85934/23.48669,-105.84315",SI5241,"(23.39960, -105.92833)",8.23 km,"https://www.google.com/maps/dir/23.42616,-105.85934/23.39960,-105.92833",SI4801,"(23.36804, -105.94475)",11.50 km,"https://www.google.com/maps/dir/23.42616,-105.85934/23.36804,-105.94475"
El Guayabal,"(17.78936, -99.98378)",GR8207,33.40 km,"(17.78936, -99.98378)",GR0763,"(17.70671, -99.90362)",12.82 km,"https://www.google.com/maps/dir/17.78936,-99.98378/17.70671,-99.90362",GR5204,"(17.60314, -99.93694)",21.38 km,"https://www.google.com/maps/dir/17.78936,-99.98378/17.60314,-99.93694",GR0461,"(17.65100, -99.82922)",23.09 km,"https://www.google.com/maps/dir/17.78936,-99.98378/17.65100,-99.82922"
El Guasimal,"(24.94536, -106.94647)",SI0733,35.06 km,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",3.70 km,"https://www.google.com/maps/dir/24.94536,-106.94647/24.96764,-106.97108",SI0507,"(25.46960, -106.92968)",58.39 km,"https://www.google.com/maps/dir/24.94536,-106.94647/25.46960,-106.92968",SI1818,"(25.47913, -106.93961)",59.42 km,"https://www.google.com/maps/dir/24.94536,-106.94647/25.47913,-106.93961"
El Guanacaste,"(23.70194, -105.57852)",DU4501,56.29 km,"(23.70194, -105.57852)",DU5639,"(23.74774, -105.53415)",7.10 km,"https://www.google.com/maps/dir/23.70194,-105.57852/23.74774,-105.53415",DU0471,"(23.81039, -105.54583)",12.61 km,"https://www.google.com/maps/dir/23.70194,-105.57852/23.81039,-105.54583",DU1926,"(23.73250, -105.69011)",12.88 km,"https://www.google.com/maps/dir/23.70194,-105.57852/23.73250,-105.69011"
El GuamÃºchil,"(25.87042, -107.54683)",SI5998,34.87 km,"(25.87042, -107.54683)",CH2750,"(26.09427, -106.96368)",69.53 km,"https://www.google.com/maps/dir/25.87042,-107.54683/26.09427,-106.96368",CH0717,"(26.08042, -106.95358)",70.06 km,"https://www.google.com/maps/dir/25.87042,-107.54683/26.08042,-106.95358",—,—,—,—
El GuamÃºchil,"(25.05276, -106.33673)",DU0174,33.43 km,"(25.05276, -106.33673)",SI0733,"(24.94536, -106.94647)",68.92 km,"https://www.google.com/maps/dir/25.05276,-106.33673/24.94536,-106.94647",SI4807,"(24.41386, -106.69064)",81.31 km,"https://www.google.com/maps/dir/25.05276,-106.33673/24.41386,-106.69064",—,—,—,—
El Guache,"(21.98111, -103.58889)",JL8886,46.79 km,"(21.98111, -103.58889)",JL1636,"(21.97547, -103.50061)",9.85 km,"https://www.google.com/maps/dir/21.98111,-103.58889/21.97547,-103.50061",JL8887,"(21.92350, -103.44289)",17.47 km,"https://www.google.com/maps/dir/21.98111,-103.58889/21.92350,-103.44289",ZA0263,"(21.80789, -103.46603)",23.64 km,"https://www.google.com/maps/dir/21.98111,-103.58889/21.80789,-103.46603"
El GatuÃ±al,"(25.05276, -106.33673)",DU0174,49.85 km,"(25.05276, -106.33673)",SI4807,"(24.41386, -106.69064)",81.31 km,"https://www.google.com/maps/dir/25.05276,-106.33673/24.41386,-106.69064",SI2224,"(24.38410, -106.69087)",84.23 km,"https://www.google.com/maps/dir/25.05276,-106.33673/24.38410,-106.69087",—,—,—,—
El Gato de Arriba,"(26.04211, -106.50761)",CH3301,44.42 km,"(26.04211, -106.50761)",DU0225,"(25.93063, -105.95694)",62.54 km,"https://www.google.com/maps/dir/26.04211,-106.50761/25.93063,-105.95694",DU7944,"(25.92462, -105.94612)",63.86 km,"https://www.google.com/maps/dir/26.04211,-106.50761/25.92462,-105.94612",—,—,—,—
