Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),Coordenadas Comunidad,ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
Agua de LeÃ³n,"(32.50811, -116.08828)",BN0472,57.07 km,"(32.50811, -116.08828)",BN4078,"(32.52188, -116.06189)",3.31 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.52188,-116.06189",BN2143,"(32.56794, -116.07161)",6.91 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.56794,-116.07161",BN9023,"(32.55386, -116.02889)",8.35 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.55386,-116.02889"
La Hacienda,"(31.88160, -116.54694)",BN8329,37.44 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
La Mariposa,"(31.88160, -116.54694)",BN8329,47.41 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
San Juan de Dios,"(32.18726, -116.49301)",BN8351,36.83 km,"(32.18726, -116.49301)",BN4814,"(32.24417, -116.55506)",9.37 km,"https://www.google.com/maps/dir/32.18726,-116.49301/32.24417,-116.55506",BN2273,"(32.11332, -116.53420)",9.42 km,"https://www.google.com/maps/dir/32.18726,-116.49301/32.11332,-116.53420",BN5759,"(32.09417, -116.56040)",12.79 km,"https://www.google.com/maps/dir/32.18726,-116.49301/32.09417,-116.56040"
Las Vaquillas (La CiÃ©nega),"(31.51361, -116.27194)",BN7157,53.45 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
El Recreo,"(31.88160, -116.54694)",BN8329,32.54 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN2030,"(31.85024, -116.56844)",4.23 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.85024,-116.56844"
La Joya,"(31.88160, -116.54694)",BN8329,33.25 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN2030,"(31.85024, -116.56844)",4.23 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.85024,-116.56844"
El Bashisha,"(31.88160, -116.54694)",BN8329,51.83 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Rancho Prieto,"(31.13035, -116.11377)",BN4960,60.78 km,"(31.13035, -116.11377)",BN4154,"(31.05606, -116.20886)",13.43 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.05606,-116.20886",BN0436,"(30.97294, -116.13394)",17.67 km,"https://www.google.com/maps/dir/31.13035,-116.11377/30.97294,-116.13394",BN4152,"(31.27322, -116.18453)",17.75 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.27322,-116.18453"
El Milagro,"(31.27322, -116.18453)",BN4152,40.32 km,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",8.90 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.32524,-116.24530",BN4960,"(31.13035, -116.11377)",17.75 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.13035,-116.11377",BN6453,"(31.27800, -116.37011)",20.67 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.27800,-116.37011"
El Pinacate,"(31.51361, -116.27194)",BN7157,54.94 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Rancho San Rafael (Rancho Hussong),"(31.88160, -116.54694)",BN8329,30.72 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Rancho Viejo,"(31.51361, -116.27194)",BN7157,55.61 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
San Esteban,"(31.51361, -116.27194)",BN7157,43.21 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Laguna Seca,"(31.51361, -116.27194)",BN7157,60.60 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Los Pinos,"(31.88160, -116.54694)",BN8329,36.12 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Rancho Grijalva,"(31.51361, -116.27194)",BN7157,33.54 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN4152,"(31.27322, -116.18453)",28.47 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.27322,-116.18453"
El CapulÃ­n,"(31.27322, -116.18453)",BN4152,48.31 km,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",8.90 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.32524,-116.24530",BN6453,"(31.27800, -116.37011)",20.67 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.27800,-116.37011",BN4154,"(31.05606, -116.20886)",24.33 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.05606,-116.20886"
Rancho Terrazas,"(31.27322, -116.18453)",BN4152,50.72 km,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",8.90 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.32524,-116.24530",BN6453,"(31.27800, -116.37011)",20.67 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.27800,-116.37011",BN4154,"(31.05606, -116.20886)",24.33 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.05606,-116.20886"
Todos Santos,"(31.27322, -116.18453)",BN4152,49.23 km,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",8.90 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.32524,-116.24530",BN6453,"(31.27800, -116.37011)",20.67 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.27800,-116.37011",BN4154,"(31.05606, -116.20886)",24.33 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.05606,-116.20886"
La Colorada,"(28.00222, -114.01083)",BS4207,149.67 km,"(28.00222, -114.01083)",BS0050,"(27.87727, -113.79778)",27.49 km,"https://www.google.com/maps/dir/28.00222,-114.01083/27.87727,-113.79778",BS1170,"(27.64259, -113.44306)",74.82 km,"https://www.google.com/maps/dir/28.00222,-114.01083/27.64259,-113.44306",BS0062,"(27.64135, -113.40076)",78.90 km,"https://www.google.com/maps/dir/28.00222,-114.01083/27.64135,-113.40076"
Yo Kaxis,"(31.51361, -116.27194)",BN7157,58.25 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Cerro Rayado [AgrÃ­cola],"(31.13035, -116.11377)",BN4960,53.60 km,"(31.13035, -116.11377)",BN4154,"(31.05606, -116.20886)",13.43 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.05606,-116.20886",BN0436,"(30.97294, -116.13394)",17.67 km,"https://www.google.com/maps/dir/31.13035,-116.11377/30.97294,-116.13394",BN4152,"(31.27322, -116.18453)",17.75 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.27322,-116.18453"
Rancho Viento Negro (Parcela Once),"(31.27322, -116.18453)",BN4152,50.64 km,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",8.90 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.32524,-116.24530",BN6453,"(31.27800, -116.37011)",20.67 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.27800,-116.37011",BN4154,"(31.05606, -116.20886)",24.33 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.05606,-116.20886"
LÃ¡zaro CÃ¡rdenas [Cooperativa],"(31.13035, -116.11377)",BN4960,56.15 km,"(31.13035, -116.11377)",BN4154,"(31.05606, -116.20886)",13.43 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.05606,-116.20886",BN0436,"(30.97294, -116.13394)",17.67 km,"https://www.google.com/maps/dir/31.13035,-116.11377/30.97294,-116.13394",BN4152,"(31.27322, -116.18453)",17.75 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.27322,-116.18453"
CiÃ©nega de Yorba,"(31.51361, -116.27194)",BN7157,54.97 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
La Pila Azul,"(31.51361, -116.27194)",BN7157,33.09 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Grano de Oro,"(31.13035, -116.11377)",BN4960,55.72 km,"(31.13035, -116.11377)",BN4154,"(31.05606, -116.20886)",13.43 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.05606,-116.20886",BN0436,"(30.97294, -116.13394)",17.67 km,"https://www.google.com/maps/dir/31.13035,-116.11377/30.97294,-116.13394",BN4152,"(31.27322, -116.18453)",17.75 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.27322,-116.18453"
Barda de Piedra [Rancho],"(31.47778, -115.07000)",BN8355,62.16 km,"(31.47778, -115.07)",BN8339,"(31.71689, -115.05208)",26.69 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.71689,-115.05208",BN2370,"(31.20850, -114.93877)",33.35 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.20850,-114.93877",BN7177,"(31.12386, -114.90425)",43.50 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.12386,-114.90425"
Familia GÃ³mez,"(31.13035, -116.11377)",BN4960,37.79 km,"(31.13035, -116.11377)",BN4154,"(31.05606, -116.20886)",13.43 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.05606,-116.20886",BN0436,"(30.97294, -116.13394)",17.67 km,"https://www.google.com/maps/dir/31.13035,-116.11377/30.97294,-116.13394",BN4152,"(31.27322, -116.18453)",17.75 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.27322,-116.18453"
Los Manzanos [Centro Vacacional],"(31.51361, -116.27194)",BN7157,43.30 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Teresita [Rancho],"(31.88160, -116.54694)",BN8329,31.96 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
La Estaca (Ejido 16 de Septiembre),"(31.47778, -115.07000)",BN8355,49.61 km,"(31.47778, -115.07)",BN8339,"(31.71689, -115.05208)",26.69 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.71689,-115.05208",BN2370,"(31.20850, -114.93877)",33.35 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.20850,-114.93877",BN7177,"(31.12386, -114.90425)",43.50 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.12386,-114.90425"
Pino Real,"(31.51361, -116.27194)",BN7157,55.03 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
TAGED,"(31.51361, -116.27194)",BN7157,45.77 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
El Potrillero,"(31.51361, -116.27194)",BN7157,55.38 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
El Nevado,"(31.51361, -116.27194)",BN7157,53.41 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Quince Hermanos,"(31.51361, -116.27194)",BN7157,44.71 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Kenet Ranch,"(31.51361, -116.27194)",BN7157,47.04 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Arroyo Seco,"(31.88160, -116.54694)",BN8329,36.29 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Las Palmas,"(31.88160, -116.54694)",BN8329,45.74 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
El Verano,"(31.88160, -116.54694)",BN8329,41.09 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Casillas,"(31.88160, -116.54694)",BN8329,40.55 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Tadeo,"(31.88160, -116.54694)",BN8329,54.97 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Puente Viejo,"(31.51361, -116.27194)",BN7157,43.31 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
La Capilla [Rancho],"(31.51361, -116.27194)",BN7157,58.22 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Los Alamitos [Rancho],"(31.51361, -116.27194)",BN7157,40.78 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Los Compadres de la Sierra [Rancho],"(31.51361, -116.27194)",BN7157,52.22 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
Sociedad Hermanos Uno,"(31.47778, -115.07000)",BN8355,60.28 km,"(31.47778, -115.07)",BN8339,"(31.71689, -115.05208)",26.69 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.71689,-115.05208",BN2370,"(31.20850, -114.93877)",33.35 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.20850,-114.93877",BN7177,"(31.12386, -114.90425)",43.50 km,"https://www.google.com/maps/dir/31.47778,-115.07/31.12386,-114.90425"
San Gabriel,"(31.88160, -116.54694)",BN8329,30.94 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Real del Castillo [AerÃ³dromo],"(31.86205, -116.54579)",BN0004,40.02 km,"(31.86205, -116.54579)",BN8329,"(31.88160, -116.54694)",2.18 km,"https://www.google.com/maps/dir/31.86205,-116.54579/31.88160,-116.54694",BN4950,"(31.87597, -116.56407)",2.56 km,"https://www.google.com/maps/dir/31.86205,-116.54579/31.87597,-116.56407",BN2030,"(31.85024, -116.56844)",2.84 km,"https://www.google.com/maps/dir/31.86205,-116.54579/31.85024,-116.56844"
Ejido Guardianes de la Patria,"(32.15608, -115.27227)",BN0333,35.01 km,"(32.15608, -115.27227)",BN0455,"(32.24827, -115.25492)",10.44 km,"https://www.google.com/maps/dir/32.15608,-115.27227/32.24827,-115.25492",BN5763,"(32.23031, -115.16807)",14.24 km,"https://www.google.com/maps/dir/32.15608,-115.27227/32.23031,-115.16807",BN0134,"(32.28677, -115.22950)",15.31 km,"https://www.google.com/maps/dir/32.15608,-115.27227/32.28677,-115.22950"
San Luis,"(32.50811, -116.08828)",BN0472,51.73 km,"(32.50811, -116.08828)",BN2143,"(32.56794, -116.07161)",6.91 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.56794,-116.07161",BN9023,"(32.55386, -116.02889)",8.35 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.55386,-116.02889",BN2139,"(32.47955, -116.18125)",10.83 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.47955,-116.18125"
CaÃ±Ã³n de Guadalupe,"(32.53805, -115.58235)",BN4070,48.52 km,"(32.53805, -115.58235)",BN1606,"(32.57692, -115.58819)",4.38 km,"https://www.google.com/maps/dir/32.53805,-115.58235/32.57692,-115.58819",BN3957,"(32.59722, -115.57188)",6.69 km,"https://www.google.com/maps/dir/32.53805,-115.58235/32.59722,-115.57188",BN5746,"(32.59186, -115.55486)",6.73 km,"https://www.google.com/maps/dir/32.53805,-115.58235/32.59186,-115.55486"
Los Laureles del Desierto,"(32.53805, -115.58235)",BN4070,36.50 km,"(32.53805, -115.58235)",BN1606,"(32.57692, -115.58819)",4.38 km,"https://www.google.com/maps/dir/32.53805,-115.58235/32.57692,-115.58819",BN3957,"(32.59722, -115.57188)",6.69 km,"https://www.google.com/maps/dir/32.53805,-115.58235/32.59722,-115.57188",BN5746,"(32.59186, -115.55486)",6.73 km,"https://www.google.com/maps/dir/32.53805,-115.58235/32.59186,-115.55486"
Rancho Cedros,"(32.50811, -116.08828)",BN0472,50.74 km,"(32.50811, -116.08828)",BN2143,"(32.56794, -116.07161)",6.91 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.56794,-116.07161",BN9023,"(32.55386, -116.02889)",8.35 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.55386,-116.02889",BN2139,"(32.47955, -116.18125)",10.83 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.47955,-116.18125"
La Esperanza [Rancho],"(32.15608, -115.27227)",BN0333,49.35 km,"(32.15608, -115.27227)",BN0455,"(32.24827, -115.25492)",10.44 km,"https://www.google.com/maps/dir/32.15608,-115.27227/32.24827,-115.25492",BN5763,"(32.23031, -115.16807)",14.24 km,"https://www.google.com/maps/dir/32.15608,-115.27227/32.23031,-115.16807",BN0134,"(32.28677, -115.22950)",15.31 km,"https://www.google.com/maps/dir/32.15608,-115.27227/32.28677,-115.22950"
Abelardo L. RodrÃ­guez (Malvar),"(30.07775, -115.72728)",BN5758,41.05 km,"(30.07775, -115.72728)",BN0146,"(30.15282, -115.79011)",10.90 km,"https://www.google.com/maps/dir/30.07775,-115.72728/30.15282,-115.79011",—,—,—,—,—,—,—,—
Calafia Dos,"(30.07775, -115.72728)",BN5758,58.67 km,"(30.07775, -115.72728)",BN0146,"(30.15282, -115.79011)",10.90 km,"https://www.google.com/maps/dir/30.07775,-115.72728/30.15282,-115.79011",—,—,—,—,—,—,—,—
