lat1,lng1,lat2,lng2,distancia_grados,distancia_km
25.735169,-111.719054,25.490528,-111.919889,0.31651842933073915,35.23483155309788
18.413082,-91.510316,18.215742,-91.507767,0.19735646176652089,21.969721323849104
31.726152,-107.288007,31.568865,-107.105014,0.2412998931164261,26.861504101720552
27.458361,-108.264554,27.392023,-108.420943,0.16987716022172358,18.91072547588227
27.687485,-105.857631,27.792466,-105.711754,0.17972509421335708,20.00699748783091
24.503395,-102.582696,24.632639,-102.778664,0.23474979991472408,26.132347726507085
19.012013,-101.082191,19.057972,-101.409889,0.3309051357791354,36.83635971493335
26.126162,-100.798714,26.138697,-100.655971,0.14329232454672114,15.951301568540996
23.700008,-101.32243,23.68528333,-100.9836833,0.33906657556813224,37.74489119224448
21.935278,-100.634739,22.040528,-100.739486,0.14849072869711522,16.529987918562863
29.608273,-111.994534,29.20880278,-111.7597083,0.4633784263939575,51.58328642617534
28.434457,-108.538797,28.160972,-108.570194,0.2752813412383746,30.644318906655858
26.984622,-99.593269,27.088389,-99.478167,0.15497116084291693,17.25138962503351
21.349944,-88.389987,21.297222,-88.273111,0.12821703732344256,14.273120594845624
27.746681,-113.779728,27.87726667,-113.7977833,0.13182796011256284,14.675088519730494
18.086253,-91.790598,17.94179,-91.734885,0.1548337713097475,17.23609542220109
27.121862,-107.14898,26.83302778,-107.0706,0.2992801881899448,33.31587054930465
27.287228,-107.745976,27.301131,-107.543608,0.20284501678127848,22.580707268091917
22.318764,-103.728461,22.300317,-103.558194,0.17126337348656465,19.065038736524375
22.259494,-104.225563,22.300317,-103.558194,0.6686164068357817,74.43037840895921
18.331005,-102.490317,18.362625,-102.2998639,0.19306011421215333,21.491451914096906
24.658029,-106.705318,24.41386111,-106.6906389,0.2446087375460295,27.229844663624
28.062792,-109.774225,27.82269444,-109.8842778,0.26411826348398537,29.40164509103725
29.733603,-111.309111,29.76688611,-111.05955,0.2517706458908032,28.027108300564212
30.885692,-111.093117,30.88591389,-110.8546278,0.23848930322304568,26.548629234789445
25.539052,-98.571106,25.611472,-98.417667,0.16967080809909948,18.887754357591753
21.275087,-88.412821,21.297222,-88.273111,0.14145261512251503,15.746505115438373
21.61997,-102.807236,21.772844,-102.7962,0.15327182771794784,17.062219861561953
30.671655,-115.135552,30.992055,-114.833805,0.4401220421758074,48.99438573501088
26.943459,-112.304024,27.187761,-112.245269,0.25126801871507526,27.971155843362176
30.258792,-105.779953,29.962839,-106.141918,0.4675541032158727,52.04812276999095
26.69181,-106.574716,26.954838,-106.34788,0.3473302458467955,38.664802967665274
21.973691,-104.085514,21.981111,-103.588889,0.4966804274631815,55.290465185201356
21.516917,-103.761276,21.502486,-103.557917,0.20387039177378513,22.69485201225776
18.218854,-102.677274,18.074194,-102.757774,0.16554988855327155,18.429013593750188
18.458199,-103.151569,18.7723,-103.1622444,0.3142823608893136,34.98591241419839
18.61887,-103.185337,18.7723,-103.1622444,0.1551580905875036,17.2721986442009
21.774215,-100.208454,21.825667,-100.038833,0.1772529039113378,19.731793263410122
23.630899,-109.927896,23.730381,-109.830447,0.13925866552929433,15.502274646721045
26.952134,-103.457196,27.025222,-103.365917,0.1169346466407617,13.017164864049592
28.052069,-108.652471,28.160972,-108.570194,0.136489443320724,15.194004830462994
22.154509,-104.04575,21.981111,-103.588889,0.48866024979018297,54.39765900664317
18.711985,-103.317254,18.78102875,-103.169136,0.16341964795600936,18.19187521046296
21.236142,-87.087957,21.221722,-86.922072,0.16651056910899384,18.535956553213193
21.698076,-100.128433,21.825667,-100.038833,0.15590902244899266,17.35579237902186
23.941236,-97.834198,24.022585,-97.943471,0.13622866192545638,15.164974645541804
24.664932,-111.197011,24.48875,-111.294361,0.20128864752886244,22.407452242912967
15.984408,-93.328821,15.874889,-93.467694,0.1768618712159216,19.68826350375639
26.813261,-107.26936,26.818858,-107.081417,0.18802632171587452,20.93109013341115
28.097486,-107.591674,27.98028,-107.597178,0.11733516289672034,13.061750333662907
27.976317,-108.136584,27.871139,-108.219667,0.1340343111781487,14.920699520351514
18.806355,-102.455417,18.9442749,-102.2982025,0.20913703121699515,23.2811343150759
21.385597,-87.722593,21.402055,-87.878972,0.1572426704333158,17.504254072636712
25.072473,-111.166832,25.202194,-111.558603,0.41268881046377354,45.940518380827264
16.101268,-93.540571,16.013414,-93.672432,0.15844762111499244,17.638389182520957
25.514589,-98.758313,25.332558,-98.655069,0.20927161416924536,23.296116089320392
16.216163,-98.186617,16.321277,-98.256972,0.12648627997138753,14.080452686414858
20.541584,-98.193455,20.39985,-98.19993,0.14188182540762512,15.794284804376828
27.59414,-101.99391,27.322686,-102.40043,0.4888208102321336,54.41553259504111
18.185252,-102.647312,18.074194,-102.757774,0.1566388611041321,17.437038018111984
24.276484,-106.484882,24.38409722,-106.6908694,0.23240355865934537,25.871164149958325
21.455061,-102.980034,21.483794,-103.092558,0.11613455930513733,12.928099141847888
26.432265,-106.369275,26.042111,-106.507611,0.4139528869472958,46.08123537497297
23.258189,-105.267137,23.773389,-105.3565,0.5228927096154609,58.2084164343931
18.078692,-101.277229,17.921786,-101.323086,0.16346974424950816,18.197451929855248
18.977404,-103.064693,19.05361944,-102.8713806,0.20779431486004973,23.131663130220733
26.812275,-105.249598,26.740556,-105.158056,0.11629081100843892,12.94549308145942
19.965807,-104.965569,19.951921,-105.23999,0.27477209872365527,30.587630029917303
20.559404,-98.216687,20.39985,-98.19993,0.16043153045770006,17.85923797055117
19.151261,-101.312026,19.20736944,-101.4313111,0.13182219889397717,14.674447180877538
