Comunidad,Coordenadas Comunidad,ID radio actual,Punto actual más cercano,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
Agua de LeÃ³n,"(32.03571, -115.88922)",BN0472,"(32.50811, -116.08828)",57.07 km,BN4078,"(32.52188, -116.06189)",57.43 km,"https://www.google.com/maps/dir/32.03571,-115.889224/32.521877,-116.061888",BN2139,"(32.47955, -116.18125)",59.14 km,"https://www.google.com/maps/dir/32.03571,-115.889224/32.479547,-116.181247",BN3956,"(32.56698, -115.92931)",59.31 km,"https://www.google.com/maps/dir/32.03571,-115.889224/32.566983,-115.92931"
La Hacienda,"(31.93441, -116.21477)",BN8329,"(31.88160, -116.54694)",37.44 km,BN0004,"(31.86205, -116.54579)",37.72 km,"https://www.google.com/maps/dir/31.934406,-116.214767/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",37.83 km,"https://www.google.com/maps/dir/31.934406,-116.214767/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",39.43 km,"https://www.google.com/maps/dir/31.934406,-116.214767/31.875969,-116.564072"
La Mariposa,"(31.92542, -116.12327)",BN8329,"(31.88160, -116.54694)",47.41 km,BN0004,"(31.86205, -116.54579)",47.56 km,"https://www.google.com/maps/dir/31.925422,-116.123273/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",47.90 km,"https://www.google.com/maps/dir/31.925422,-116.123273/31.900111,-116.552861",BN7157,"(31.51361, -116.27194)",48.74 km,"https://www.google.com/maps/dir/31.925422,-116.123273/31.513611,-116.271944"
San Juan de Dios,"(32.13268, -116.16670)",BN8351,"(32.18726, -116.49301)",36.83 km,BN2139,"(32.47955, -116.18125)",38.65 km,"https://www.google.com/maps/dir/32.13268,-116.1667/32.479547,-116.181247",BN2273,"(32.11332, -116.53420)",40.97 km,"https://www.google.com/maps/dir/32.13268,-116.1667/32.113322,-116.5342",BN0472,"(32.50811, -116.08828)",42.70 km,"https://www.google.com/maps/dir/32.13268,-116.1667/32.50811111,-116.0882778"
Las Vaquillas (La CiÃ©nega),"(31.71498, -115.83609)",BN7157,"(31.51361, -116.27194)",53.45 km,BN4152,"(31.27322, -116.18453)",62.63 km,"https://www.google.com/maps/dir/31.714978,-115.836087/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",62.91 km,"https://www.google.com/maps/dir/31.714978,-115.836087/31.325244,-116.2453",BN7001,"(31.58108, -116.42171)",66.87 km,"https://www.google.com/maps/dir/31.714978,-115.836087/31.58108,-116.421705"
El Recreo,"(31.88404, -116.25468)",BN8329,"(31.88160, -116.54694)",32.54 km,BN1982,"(31.90011, -116.55286)",33.24 km,"https://www.google.com/maps/dir/31.884044,-116.254684/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",34.45 km,"https://www.google.com/maps/dir/31.884044,-116.254684/31.875969,-116.564072",BN2030,"(31.85024, -116.56844)",35.13 km,"https://www.google.com/maps/dir/31.884044,-116.254684/31.850236,-116.568441"
La Joya,"(31.88791, -116.24828)",BN8329,"(31.88160, -116.54694)",33.25 km,BN1982,"(31.90011, -116.55286)",33.93 km,"https://www.google.com/maps/dir/31.887909,-116.248285/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",35.18 km,"https://www.google.com/maps/dir/31.887909,-116.248285/31.875969,-116.564072",BN2030,"(31.85024, -116.56844)",35.89 km,"https://www.google.com/maps/dir/31.887909,-116.248285/31.850236,-116.568441"
El Bashisha,"(31.90051, -116.08177)",BN8329,"(31.88160, -116.54694)",51.83 km,BN0004,"(31.86205, -116.54579)",51.83 km,"https://www.google.com/maps/dir/31.900506,-116.08177/31.862047,-116.545791",BN7001,"(31.58108, -116.42171)",51.93 km,"https://www.google.com/maps/dir/31.900506,-116.08177/31.58108,-116.421705",BN1982,"(31.90011, -116.55286)",52.44 km,"https://www.google.com/maps/dir/31.900506,-116.08177/31.900111,-116.552861"
Rancho Prieto,"(31.38344, -115.62999)",BN4960,"(31.13035, -116.11377)",60.78 km,BN4152,"(31.27322, -116.18453)",62.94 km,"https://www.google.com/maps/dir/31.383438,-115.629989/31.273222,-116.184527",BN8355,"(31.47778, -115.07000)",63.22 km,"https://www.google.com/maps/dir/31.383438,-115.629989/31.477777,-115.07",BN0437,"(31.32524, -116.24530)",68.80 km,"https://www.google.com/maps/dir/31.383438,-115.629989/31.325244,-116.2453"
El Milagro,"(31.45042, -115.86866)",BN4152,"(31.27322, -116.18453)",40.32 km,BN0437,"(31.32524, -116.24530)",44.18 km,"https://www.google.com/maps/dir/31.450418,-115.868664/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",44.88 km,"https://www.google.com/maps/dir/31.450418,-115.868664/31.13035,-116.113766",BN7157,"(31.51361, -116.27194)",45.44 km,"https://www.google.com/maps/dir/31.450418,-115.868664/31.513611,-116.271944"
El Pinacate,"(31.65213, -115.79821)",BN7157,"(31.51361, -116.27194)",54.94 km,BN4152,"(31.27322, -116.18453)",60.24 km,"https://www.google.com/maps/dir/31.652129,-115.798209/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",61.65 km,"https://www.google.com/maps/dir/31.652129,-115.798209/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",67.88 km,"https://www.google.com/maps/dir/31.652129,-115.798209/31.13035,-116.113766"
Rancho San Rafael (Rancho Hussong),"(31.89313, -116.27119)",BN8329,"(31.88160, -116.54694)",30.72 km,BN0004,"(31.86205, -116.54579)",30.76 km,"https://www.google.com/maps/dir/31.893132,-116.271188/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",31.37 km,"https://www.google.com/maps/dir/31.893132,-116.271188/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",32.66 km,"https://www.google.com/maps/dir/31.893132,-116.271188/31.875969,-116.564072"
Rancho Viejo,"(31.73988, -115.82657)",BN7157,"(31.51361, -116.27194)",55.61 km,BN4152,"(31.27322, -116.18453)",65.47 km,"https://www.google.com/maps/dir/31.739876,-115.826574/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",65.60 km,"https://www.google.com/maps/dir/31.739876,-115.826574/31.325244,-116.2453",BN7001,"(31.58108, -116.42171)",68.57 km,"https://www.google.com/maps/dir/31.739876,-115.826574/31.58108,-116.421705"
San Esteban,"(31.83073, -116.04812)",BN7157,"(31.51361, -116.27194)",43.21 km,BN7001,"(31.58108, -116.42171)",50.02 km,"https://www.google.com/maps/dir/31.830725,-116.048116/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",50.84 km,"https://www.google.com/maps/dir/31.830725,-116.048116/31.622611,-116.454638",BN2625,"(31.66833, -116.51389)",54.91 km,"https://www.google.com/maps/dir/31.830725,-116.048116/31.668333,-116.513888"
Laguna Seca,"(31.94861, -115.94472)",BN7157,"(31.51361, -116.27194)",60.60 km,BN0472,"(32.50811, -116.08828)",64.30 km,"https://www.google.com/maps/dir/31.948611,-115.944722/32.50811111,-116.0882778",BN2139,"(32.47955, -116.18125)",64.70 km,"https://www.google.com/maps/dir/31.948611,-115.944722/32.479547,-116.181247",BN4078,"(32.52188, -116.06189)",65.14 km,"https://www.google.com/maps/dir/31.948611,-115.944722/32.521877,-116.061888"
Los Pinos,"(31.91615, -116.22430)",BN8329,"(31.88160, -116.54694)",36.12 km,BN0004,"(31.86205, -116.54579)",36.29 km,"https://www.google.com/maps/dir/31.916154,-116.224303/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",36.62 km,"https://www.google.com/maps/dir/31.916154,-116.224303/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",38.09 km,"https://www.google.com/maps/dir/31.916154,-116.224303/31.875969,-116.564072"
Rancho Grijalva,"(31.55210, -115.97311)",BN7157,"(31.51361, -116.27194)",33.54 km,BN4152,"(31.27322, -116.18453)",38.96 km,"https://www.google.com/maps/dir/31.552101,-115.97311/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",39.44 km,"https://www.google.com/maps/dir/31.552101,-115.97311/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",49.49 km,"https://www.google.com/maps/dir/31.552101,-115.97311/31.13035,-116.113766"
El CapulÃ­n,"(31.36249, -115.75986)",BN4152,"(31.27322, -116.18453)",48.31 km,BN0437,"(31.32524, -116.24530)",54.20 km,"https://www.google.com/maps/dir/31.362493,-115.759862/31.325244,-116.2453",BN7157,"(31.51361, -116.27194)",59.44 km,"https://www.google.com/maps/dir/31.362493,-115.759862/31.513611,-116.271944",BN0436,"(30.97294, -116.13394)",60.12 km,"https://www.google.com/maps/dir/31.362493,-115.759862/30.972944,-116.133944"
Rancho Terrazas,"(31.38621, -115.74315)",BN4152,"(31.27322, -116.18453)",50.72 km,BN0437,"(31.32524, -116.24530)",56.31 km,"https://www.google.com/maps/dir/31.386209,-115.743146/31.325244,-116.2453",BN7157,"(31.51361, -116.27194)",60.55 km,"https://www.google.com/maps/dir/31.386209,-115.743146/31.513611,-116.271944",BN0436,"(30.97294, -116.13394)",63.32 km,"https://www.google.com/maps/dir/31.386209,-115.743146/30.972944,-116.133944"
Todos Santos,"(31.38890, -115.75764)",BN4152,"(31.27322, -116.18453)",49.23 km,BN0437,"(31.32524, -116.24530)",54.75 km,"https://www.google.com/maps/dir/31.3889,-115.757641/31.325244,-116.2453",BN7157,"(31.51361, -116.27194)",58.91 km,"https://www.google.com/maps/dir/31.3889,-115.757641/31.513611,-116.271944",BN4154,"(31.05606, -116.20886)",62.42 km,"https://www.google.com/maps/dir/31.3889,-115.757641/31.056055,-116.208861"
La Colorada,"(28.11626, -115.35050)",BS4207,"(28.00222, -114.01083)",149.67 km,BS0050,"(27.87727, -113.79778)",174.88 km,"https://www.google.com/maps/dir/28.116257,-115.350498/27.87726667,-113.7977833",BS1170,"(27.64259, -113.44306)",218.79 km,"https://www.google.com/maps/dir/28.116257,-115.350498/27.642586,-113.443061",BN5758,"(30.07775, -115.72728)",222.35 km,"https://www.google.com/maps/dir/28.116257,-115.350498/30.07775,-115.727277"
Yo Kaxis,"(31.64861, -115.76639)",BN7157,"(31.51361, -116.27194)",58.25 km,BN4152,"(31.27322, -116.18453)",62.55 km,"https://www.google.com/maps/dir/31.648611,-115.766389/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",64.33 km,"https://www.google.com/maps/dir/31.648611,-115.766389/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",69.45 km,"https://www.google.com/maps/dir/31.648611,-115.766389/31.13035,-116.113766"
Cerro Rayado [AgrÃ­cola],"(31.35944, -115.69024)",BN4960,"(31.13035, -116.11377)",53.60 km,BN4152,"(31.27322, -116.18453)",55.86 km,"https://www.google.com/maps/dir/31.359435,-115.690237/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",61.91 km,"https://www.google.com/maps/dir/31.359435,-115.690237/31.325244,-116.2453",BN0436,"(30.97294, -116.13394)",65.50 km,"https://www.google.com/maps/dir/31.359435,-115.690237/30.972944,-116.133944"
Rancho Viento Negro (Parcela Once),"(31.35448, -115.73691)",BN4152,"(31.27322, -116.18453)",50.64 km,BN0437,"(31.32524, -116.24530)",56.69 km,"https://www.google.com/maps/dir/31.35448,-115.736906/31.325244,-116.2453",BN0436,"(30.97294, -116.13394)",61.30 km,"https://www.google.com/maps/dir/31.35448,-115.736906/30.972944,-116.133944",BN7157,"(31.51361, -116.27194)",62.14 km,"https://www.google.com/maps/dir/31.35448,-115.736906/31.513611,-116.271944"
LÃ¡zaro CÃ¡rdenas [Cooperativa],"(31.37488, -115.67265)",BN4960,"(31.13035, -116.11377)",56.15 km,BN4152,"(31.27322, -116.18453)",58.09 km,"https://www.google.com/maps/dir/31.374885,-115.672654/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",63.99 km,"https://www.google.com/maps/dir/31.374885,-115.672654/31.325244,-116.2453",BN8355,"(31.47778, -115.07000)",68.06 km,"https://www.google.com/maps/dir/31.374885,-115.672654/31.477777,-115.07"
CiÃ©nega de Yorba,"(31.91657, -115.98651)",BN7157,"(31.51361, -116.27194)",54.97 km,BN7001,"(31.58108, -116.42171)",61.17 km,"https://www.google.com/maps/dir/31.916566,-115.98651/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",61.53 km,"https://www.google.com/maps/dir/31.916566,-115.98651/31.622611,-116.454638",BN8329,"(31.88160, -116.54694)",62.51 km,"https://www.google.com/maps/dir/31.916566,-115.98651/31.881602,-116.546944"
La Pila Azul,"(31.73172, -116.06995)",BN7157,"(31.51361, -116.27194)",33.09 km,BN7001,"(31.58108, -116.42171)",42.60 km,"https://www.google.com/maps/dir/31.731723,-116.069953/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",44.51 km,"https://www.google.com/maps/dir/31.731723,-116.069953/31.622611,-116.454638",BN0437,"(31.32524, -116.24530)",49.28 km,"https://www.google.com/maps/dir/31.731723,-116.069953/31.325244,-116.2453"
Grano de Oro,"(31.27740, -115.63533)",BN4960,"(31.13035, -116.11377)",55.72 km,BN4152,"(31.27322, -116.18453)",61.14 km,"https://www.google.com/maps/dir/31.277402,-115.635331/31.273222,-116.184527",BN0436,"(30.97294, -116.13394)",65.04 km,"https://www.google.com/maps/dir/31.277402,-115.635331/30.972944,-116.133944",BN0395,"(30.84821, -116.05146)",66.55 km,"https://www.google.com/maps/dir/31.277402,-115.635331/30.848211,-116.051456"
Barda de Piedra [Rancho],"(31.35445, -115.61461)",BN8355,"(31.47778, -115.07000)",62.16 km,BN4152,"(31.27322, -116.18453)",64.08 km,"https://www.google.com/maps/dir/31.354451,-115.614607/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",70.28 km,"https://www.google.com/maps/dir/31.354451,-115.614607/31.325244,-116.2453",BN0436,"(30.97294, -116.13394)",71.74 km,"https://www.google.com/maps/dir/31.354451,-115.614607/30.972944,-116.133944"
Familia GÃ³mez,"(31.22830, -115.78875)",BN4960,"(31.13035, -116.11377)",37.79 km,BN4152,"(31.27322, -116.18453)",44.34 km,"https://www.google.com/maps/dir/31.228304,-115.788745/31.273222,-116.184527",BN0436,"(30.97294, -116.13394)",47.80 km,"https://www.google.com/maps/dir/31.228304,-115.788745/30.972944,-116.133944",BN4508,"(30.97351, -116.15767)",49.91 km,"https://www.google.com/maps/dir/31.228304,-115.788745/30.973513,-116.157675"
Los Manzanos [Centro Vacacional],"(31.85052, -116.07763)",BN7157,"(31.51361, -116.27194)",43.30 km,BN7001,"(31.58108, -116.42171)",48.65 km,"https://www.google.com/maps/dir/31.850516,-116.077629/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",49.04 km,"https://www.google.com/maps/dir/31.850516,-116.077629/31.622611,-116.454638",BN0004,"(31.86205, -116.54579)",52.13 km,"https://www.google.com/maps/dir/31.850516,-116.077629/31.862047,-116.545791"
Teresita [Rancho],"(31.91645, -116.26199)",BN8329,"(31.88160, -116.54694)",31.96 km,BN0004,"(31.86205, -116.54579)",32.17 km,"https://www.google.com/maps/dir/31.916452,-116.261992/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",32.43 km,"https://www.google.com/maps/dir/31.916452,-116.261992/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",33.93 km,"https://www.google.com/maps/dir/31.916452,-116.261992/31.875969,-116.564072"
La Estaca (Ejido 16 de Septiembre),"(31.37701, -115.50412)",BN8355,"(31.47778, -115.07000)",49.61 km,BN8339,"(31.71689, -115.05208)",62.96 km,"https://www.google.com/maps/dir/31.377013,-115.504119/31.716891,-115.052077",BN2370,"(31.20850, -114.93877)",65.67 km,"https://www.google.com/maps/dir/31.377013,-115.504119/31.208497,-114.938769",BN7177,"(31.12386, -114.90425)",72.48 km,"https://www.google.com/maps/dir/31.377013,-115.504119/31.123861,-114.90425"
Pino Real,"(31.87328, -115.93282)",BN7157,"(31.51361, -116.27194)",55.03 km,BN7001,"(31.58108, -116.42171)",63.40 km,"https://www.google.com/maps/dir/31.873284,-115.932823/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",64.44 km,"https://www.google.com/maps/dir/31.873284,-115.932823/31.622611,-116.454638",BN0004,"(31.86205, -116.54579)",68.25 km,"https://www.google.com/maps/dir/31.873284,-115.932823/31.862047,-116.545791"
TAGED,"(31.60389, -115.87083)",BN7157,"(31.51361, -116.27194)",45.77 km,BN4152,"(31.27322, -116.18453)",50.74 km,"https://www.google.com/maps/dir/31.603889,-115.870833/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",51.96 km,"https://www.google.com/maps/dir/31.603889,-115.870833/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",59.25 km,"https://www.google.com/maps/dir/31.603889,-115.870833/31.13035,-116.113766"
El Potrillero,"(31.65567, -115.79521)",BN7157,"(31.51361, -116.27194)",55.38 km,BN4152,"(31.27322, -116.18453)",60.75 km,"https://www.google.com/maps/dir/31.65567,-115.795211/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",62.16 km,"https://www.google.com/maps/dir/31.65567,-115.795211/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",68.39 km,"https://www.google.com/maps/dir/31.65567,-115.795211/31.13035,-116.113766"
El Nevado,"(31.51055, -115.79219)",BN7157,"(31.51361, -116.27194)",53.41 km,BN0437,"(31.32524, -116.24530)",54.50 km,"https://www.google.com/maps/dir/31.510549,-115.792187/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",55.43 km,"https://www.google.com/maps/dir/31.510549,-115.792187/31.13035,-116.113766",BN4154,"(31.05606, -116.20886)",68.64 km,"https://www.google.com/maps/dir/31.510549,-115.792187/31.056055,-116.208861"
Quince Hermanos,"(31.49624, -115.87065)",BN7157,"(31.51361, -116.27194)",44.71 km,BN0437,"(31.32524, -116.24530)",45.85 km,"https://www.google.com/maps/dir/31.496245,-115.870648/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",48.90 km,"https://www.google.com/maps/dir/31.496245,-115.870648/31.13035,-116.113766",BN6453,"(31.27800, -116.37011)",60.68 km,"https://www.google.com/maps/dir/31.496245,-115.870648/31.278,-116.370111"
Kenet Ranch,"(31.54528, -115.85056)",BN7157,"(31.51361, -116.27194)",47.04 km,BN4152,"(31.27322, -116.18453)",47.95 km,"https://www.google.com/maps/dir/31.545277,-115.850556/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",50.31 km,"https://www.google.com/maps/dir/31.545277,-115.850556/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",54.70 km,"https://www.google.com/maps/dir/31.545277,-115.850556/31.13035,-116.113766"
Arroyo Seco,"(31.93732, -116.22576)",BN8329,"(31.88160, -116.54694)",36.29 km,BN0004,"(31.86205, -116.54579)",36.60 km,"https://www.google.com/maps/dir/31.937322,-116.225764/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",36.65 km,"https://www.google.com/maps/dir/31.937322,-116.225764/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",38.27 km,"https://www.google.com/maps/dir/31.937322,-116.225764/31.875969,-116.564072"
Las Palmas,"(31.97889, -116.14778)",BN8329,"(31.88160, -116.54694)",45.74 km,BN1982,"(31.90011, -116.55286)",45.94 km,"https://www.google.com/maps/dir/31.978888,-116.147777/31.900111,-116.552861",BN0004,"(31.86205, -116.54579)",46.18 km,"https://www.google.com/maps/dir/31.978888,-116.147777/31.862047,-116.545791",BN5759,"(32.09417, -116.56040)",47.69 km,"https://www.google.com/maps/dir/31.978888,-116.147777/32.094166,-116.560397"
El Verano,"(31.90746, -116.17874)",BN8329,"(31.88160, -116.54694)",41.09 km,BN0004,"(31.86205, -116.54579)",41.17 km,"https://www.google.com/maps/dir/31.907459,-116.178735/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",41.66 km,"https://www.google.com/maps/dir/31.907459,-116.178735/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",43.04 km,"https://www.google.com/maps/dir/31.907459,-116.178735/31.875969,-116.564072"
Casillas,"(31.90903, -116.18375)",BN8329,"(31.88160, -116.54694)",40.55 km,BN0004,"(31.86205, -116.54579)",40.64 km,"https://www.google.com/maps/dir/31.909033,-116.183754/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",41.10 km,"https://www.google.com/maps/dir/31.909033,-116.183754/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",42.50 km,"https://www.google.com/maps/dir/31.909033,-116.183754/31.875969,-116.564072"
Tadeo,"(31.91641, -116.05434)",BN8329,"(31.88160, -116.54694)",54.97 km,BN0004,"(31.86205, -116.54579)",55.04 km,"https://www.google.com/maps/dir/31.916409,-116.054337/31.862047,-116.545791",BN6495,"(31.62261, -116.45464)",55.28 km,"https://www.google.com/maps/dir/31.916409,-116.054337/31.622611,-116.454638",BN7001,"(31.58108, -116.42171)",55.37 km,"https://www.google.com/maps/dir/31.916409,-116.054337/31.58108,-116.421705"
Puente Viejo,"(31.85180, -116.07965)",BN7157,"(31.51361, -116.27194)",43.31 km,BN7001,"(31.58108, -116.42171)",48.56 km,"https://www.google.com/maps/dir/31.851801,-116.079648/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",48.92 km,"https://www.google.com/maps/dir/31.851801,-116.079648/31.622611,-116.454638",BN0004,"(31.86205, -116.54579)",51.90 km,"https://www.google.com/maps/dir/31.851801,-116.079648/31.862047,-116.545791"
La Capilla [Rancho],"(31.79185, -115.82909)",BN7157,"(31.51361, -116.27194)",58.22 km,BN0437,"(31.32524, -116.24530)",69.60 km,"https://www.google.com/maps/dir/31.791854,-115.829091/31.325244,-116.2453",BN4152,"(31.27322, -116.18453)",69.99 km,"https://www.google.com/maps/dir/31.791854,-115.829091/31.273222,-116.184527",BN7001,"(31.58108, -116.42171)",70.02 km,"https://www.google.com/maps/dir/31.791854,-115.829091/31.58108,-116.421705"
Los Alamitos [Rancho],"(31.79726, -116.04013)",BN7157,"(31.51361, -116.27194)",40.78 km,BN7001,"(31.58108, -116.42171)",48.82 km,"https://www.google.com/maps/dir/31.797261,-116.040125/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",50.07 km,"https://www.google.com/maps/dir/31.797261,-116.040125/31.622611,-116.454638",BN2625,"(31.66833, -116.51389)",54.66 km,"https://www.google.com/maps/dir/31.797261,-116.040125/31.668333,-116.513888"
Los Compadres de la Sierra [Rancho],"(31.75540, -115.86999)",BN7157,"(31.51361, -116.27194)",52.22 km,BN0437,"(31.32524, -116.24530)",63.55 km,"https://www.google.com/maps/dir/31.7554,-115.869991/31.325244,-116.2453",BN4152,"(31.27322, -116.18453)",64.09 km,"https://www.google.com/maps/dir/31.7554,-115.869991/31.273222,-116.184527",BN7001,"(31.58108, -116.42171)",64.41 km,"https://www.google.com/maps/dir/31.7554,-115.869991/31.58108,-116.421705"
Sociedad Hermanos Uno,"(31.34144, -115.59405)",BN8355,"(31.47778, -115.07000)",60.28 km,BN4960,"(31.13035, -116.11377)",62.44 km,"https://www.google.com/maps/dir/31.341441,-115.594053/31.13035,-116.113766",BN4152,"(31.27322, -116.18453)",66.17 km,"https://www.google.com/maps/dir/31.341441,-115.594053/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",72.52 km,"https://www.google.com/maps/dir/31.341441,-115.594053/31.325244,-116.2453"
San Gabriel,"(31.92619, -116.27260)",BN8329,"(31.88160, -116.54694)",30.94 km,BN0004,"(31.86205, -116.54579)",31.24 km,"https://www.google.com/maps/dir/31.926189,-116.272603/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",31.33 km,"https://www.google.com/maps/dir/31.926189,-116.272603/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",32.92 km,"https://www.google.com/maps/dir/31.926189,-116.272603/31.875969,-116.564072"
Real del Castillo [AerÃ³dromo],"(31.88140, -116.18677)",BN0004,"(31.86205, -116.54579)",40.02 km,BN8329,"(31.88160, -116.54694)",40.09 km,"https://www.google.com/maps/dir/31.881399,-116.186772/31.881602,-116.546944",BN1982,"(31.90011, -116.55286)",40.81 km,"https://www.google.com/maps/dir/31.881399,-116.186772/31.900111,-116.552861",BN6495,"(31.62261, -116.45464)",41.46 km,"https://www.google.com/maps/dir/31.881399,-116.186772/31.622611,-116.454638"
Ejido Guardianes de la Patria,"(32.16460, -115.58667)",BN0333,"(32.15608, -115.27227)",35.01 km,BN1815,"(32.29308, -115.29461)",35.52 km,"https://www.google.com/maps/dir/32.164604,-115.586671/32.29307778,-115.2946111",BN0455,"(32.24827, -115.25492)",38.09 km,"https://www.google.com/maps/dir/32.164604,-115.586671/32.24826667,-115.2549194",BN4408,"(32.44325, -115.37154)",39.19 km,"https://www.google.com/maps/dir/32.164604,-115.586671/32.44325,-115.371544"
San Luis,"(32.11501, -115.84041)",BN0472,"(32.50811, -116.08828)",51.73 km,BN9023,"(32.55386, -116.02889)",53.17 km,"https://www.google.com/maps/dir/32.115013,-115.840411/32.553861,-116.028888",BN2212,"(32.58018, -115.72578)",53.33 km,"https://www.google.com/maps/dir/32.115013,-115.840411/32.580177,-115.72578",BN4070,"(32.53805, -115.58235)",55.16 km,"https://www.google.com/maps/dir/32.115013,-115.840411/32.538047,-115.58235"
CaÃ±Ã³n de Guadalupe,"(32.15497, -115.79035)",BN4070,"(32.53805, -115.58235)",48.52 km,BN4078,"(32.52188, -116.06189)",50.81 km,"https://www.google.com/maps/dir/32.154973,-115.790353/32.521877,-116.061888",BN0472,"(32.50811, -116.08828)",51.43 km,"https://www.google.com/maps/dir/32.154973,-115.790353/32.50811111,-116.0882778",BN9023,"(32.55386, -116.02889)",51.74 km,"https://www.google.com/maps/dir/32.154973,-115.790353/32.553861,-116.028888"
Los Laureles del Desierto,"(32.25949, -115.75529)",BN4070,"(32.53805, -115.58235)",36.50 km,BN3956,"(32.56698, -115.92931)",39.33 km,"https://www.google.com/maps/dir/32.259491,-115.755292/32.566983,-115.92931",BN5753,"(32.60149, -115.65566)",39.65 km,"https://www.google.com/maps/dir/32.259491,-115.755292/32.601494,-115.65566",BN1606,"(32.57692, -115.58819)",39.93 km,"https://www.google.com/maps/dir/32.259491,-115.755292/32.576916,-115.58819"
Rancho Cedros,"(32.11740, -115.85347)",BN0472,"(32.50811, -116.08828)",50.74 km,BN3956,"(32.56698, -115.92931)",50.75 km,"https://www.google.com/maps/dir/32.117397,-115.853471/32.566983,-115.92931",BN9023,"(32.55386, -116.02889)",52.36 km,"https://www.google.com/maps/dir/32.117397,-115.853471/32.553861,-116.028888",BN2212,"(32.58018, -115.72578)",53.44 km,"https://www.google.com/maps/dir/32.117397,-115.853471/32.580177,-115.72578"
La Esperanza [Rancho],"(32.03542, -115.69889)",BN0333,"(32.15608, -115.27227)",49.35 km,BN0375,"(32.33697, -115.33147)",52.91 km,"https://www.google.com/maps/dir/32.035416,-115.698891/32.33697222,-115.331475",BN1815,"(32.29308, -115.29461)",53.37 km,"https://www.google.com/maps/dir/32.035416,-115.698891/32.29307778,-115.2946111",BN0455,"(32.24827, -115.25492)",54.81 km,"https://www.google.com/maps/dir/32.035416,-115.698891/32.24826667,-115.2549194"
Abelardo L. RodrÃ­guez (Malvar),"(29.80543, -115.47859)",BN5758,"(30.07775, -115.72728)",41.05 km,BN0146,"(30.15282, -115.79011)",51.94 km,"https://www.google.com/maps/dir/29.805426,-115.478586/30.152825,-115.790108",—,—,—,—,—,—,—,—
Calafia Dos,"(29.96542, -115.21236)",BN5758,"(30.07775, -115.72728)",58.67 km,BN0146,"(30.15282, -115.79011)",67.61 km,"https://www.google.com/maps/dir/29.965421,-115.212361/30.152825,-115.790108",—,—,—,—,—,—,—,—
