Comunidad,Coordenadas Comunidad,ID radio actual,Punto actual más cercano,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
Agua de la Loma,"(22.13815, -104.03130)",JL8886,"(21.98111, -103.58889)",52.26 km,ZA0292,"(22.30032, -103.55819)",55.67 km,"https://www.google.com/maps/dir/22.13815,-104.031295/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",61.79 km,"https://www.google.com/maps/dir/22.13815,-104.031295/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",68.20 km,"https://www.google.com/maps/dir/22.13815,-104.031295/22.443417,-103.500083"
Zacapuestles,"(22.21677, -104.08037)",ZA0292,"(22.30032, -103.55819)",58.87 km,JL8886,"(21.98111, -103.58889)",60.68 km,"https://www.google.com/maps/dir/22.216768,-104.080368/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",69.35 km,"https://www.google.com/maps/dir/22.216768,-104.080368/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",69.91 km,"https://www.google.com/maps/dir/22.216768,-104.080368/21.9754715,-103.5006104"
El Zapote,"(22.20550, -104.26573)",ZA0292,"(22.30032, -103.55819)",79.47 km,NA0194,"(21.94281, -104.99812)",86.62 km,"https://www.google.com/maps/dir/22.205496,-104.265726/21.942811,-104.998118",NA2847,"(21.66886, -104.84350)",87.78 km,"https://www.google.com/maps/dir/22.205496,-104.265726/21.66886111,-104.8435",NA5833,"(21.44087, -104.48832)",88.65 km,"https://www.google.com/maps/dir/22.205496,-104.265726/21.440872,-104.488319"
Tierra Amarilla,"(22.09889, -104.18833)",JL8886,"(21.98111, -103.58889)",68.01 km,ZA0292,"(22.30032, -103.55819)",73.64 km,"https://www.google.com/maps/dir/22.098889,-104.188333/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",77.78 km,"https://www.google.com/maps/dir/22.098889,-104.188333/21.9754715,-103.5006104",NA5833,"(21.44087, -104.48832)",80.50 km,"https://www.google.com/maps/dir/22.098889,-104.188333/21.440872,-104.488319"
AlacrÃ¡n,"(22.14702, -104.06294)",JL8886,"(21.98111, -103.58889)",55.91 km,ZA0292,"(22.30032, -103.55819)",58.72 km,"https://www.google.com/maps/dir/22.147021,-104.062937/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",65.45 km,"https://www.google.com/maps/dir/22.147021,-104.062937/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",70.81 km,"https://www.google.com/maps/dir/22.147021,-104.062937/22.443417,-103.500083"
El Vivero,"(22.30071, -104.00314)",ZA0292,"(22.30032, -103.55819)",49.53 km,ZA0347,"(22.44342, -103.50008)",58.21 km,"https://www.google.com/maps/dir/22.300709,-104.003141/22.443417,-103.500083",JL8886,"(21.98111, -103.58889)",58.24 km,"https://www.google.com/maps/dir/22.300709,-104.003141/21.981111,-103.588889",JL1636,"(21.97547, -103.50061)",66.64 km,"https://www.google.com/maps/dir/22.300709,-104.003141/21.9754715,-103.5006104"
El Choacan,"(22.27913, -104.01217)",ZA0292,"(22.30032, -103.55819)",50.59 km,JL8886,"(21.98111, -103.58889)",57.63 km,"https://www.google.com/maps/dir/22.279128,-104.012171/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",59.87 km,"https://www.google.com/maps/dir/22.279128,-104.012171/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",66.22 km,"https://www.google.com/maps/dir/22.279128,-104.012171/21.9754715,-103.5006104"
Janakia,"(22.29507, -104.17953)",ZA0292,"(22.30032, -103.55819)",69.17 km,JL8886,"(21.98111, -103.58889)",74.46 km,"https://www.google.com/maps/dir/22.295068,-104.179526/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",77.42 km,"https://www.google.com/maps/dir/22.295068,-104.179526/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",83.53 km,"https://www.google.com/maps/dir/22.295068,-104.179526/21.9754715,-103.5006104"
Los Alacranes,"(22.26375, -104.02418)",ZA0292,"(22.30032, -103.55819)",52.03 km,JL8886,"(21.98111, -103.58889)",57.78 km,"https://www.google.com/maps/dir/22.263745,-104.024181/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",61.68 km,"https://www.google.com/maps/dir/22.263745,-104.024181/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",66.53 km,"https://www.google.com/maps/dir/22.263745,-104.024181/21.9754715,-103.5006104"
Las Azucenas,"(22.09682, -104.06577)",JL8886,"(21.98111, -103.58889)",54.63 km,ZA0292,"(22.30032, -103.55819)",60.88 km,"https://www.google.com/maps/dir/22.096821,-104.065771/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",64.35 km,"https://www.google.com/maps/dir/22.096821,-104.065771/21.9754715,-103.5006104",JL8887,"(21.92350, -103.44289)",71.97 km,"https://www.google.com/maps/dir/22.096821,-104.065771/21.9235,-103.442886"
La Palma,"(22.20969, -104.07456)",ZA0292,"(22.30032, -103.55819)",58.36 km,JL8886,"(21.98111, -103.58889)",59.75 km,"https://www.google.com/maps/dir/22.20969,-104.074564/21.981111,-103.588889",JL1636,"(21.97547, -103.50061)",69.01 km,"https://www.google.com/maps/dir/22.20969,-104.074564/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",69.04 km,"https://www.google.com/maps/dir/22.20969,-104.074564/22.443417,-103.500083"
La Lima,"(20.01892, -104.76156)",JL6518,"(19.71833, -104.61083)",37.43 km,JL3114,"(19.67663, -104.72677)",38.30 km,"https://www.google.com/maps/dir/20.018924,-104.761559/19.676629,-104.726773",JL1904,"(20.37992, -104.82237)",40.75 km,"https://www.google.com/maps/dir/20.018924,-104.761559/20.37992,-104.822375",JL5307,"(20.38583, -104.81944)",41.35 km,"https://www.google.com/maps/dir/20.018924,-104.761559/20.385834,-104.819443"
El ChicharrÃ³n,"(19.94382, -104.92369)",JL5313,"(19.95192, -105.23999)",35.22 km,JL1798,"(20.12250, -105.19360)",36.03 km,"https://www.google.com/maps/dir/19.943819,-104.923691/20.1225,-105.1936",JL3789,"(19.93612, -105.24983)",36.32 km,"https://www.google.com/maps/dir/19.943819,-104.923691/19.936117,-105.249832",JL2063,"(20.02950, -105.24242)",36.74 km,"https://www.google.com/maps/dir/19.943819,-104.923691/20.029499,-105.242416"
El Ucas,"(18.32336, -102.99695)",MI7528,"(18.07419, -102.75777)",38.45 km,MI9776,"(18.73733, -102.79256)",51.39 km,"https://www.google.com/maps/dir/18.323358,-102.996952/18.737333,-102.792557",MI3038,"(18.77230, -103.16224)",53.26 km,"https://www.google.com/maps/dir/18.323358,-102.996952/18.7723,-103.1622444",MI5655,"(18.78114, -103.15643)",53.96 km,"https://www.google.com/maps/dir/18.323358,-102.996952/18.781139,-103.156433"
